ID,등급,카드이름,카드종류,코스트,공격력,체력,카드설명,명령어
36,토큰,보랏빛 수습생,하수인,1,1,1,ㅤ,[없음]:
37,전설,불의 군주 라그나로스,하수인,8,8,8,공격할 수 없습니다. 내 턴이 끝날 때 무작위 적에게 피해를 8 줍니다.,[전투의함성]:[공격불가][전투의함성]:[피해주기(조건없음|무작위캐릭터|상대|8)]
38,일반,붉은해적단 약탈자,하수인,2,2,3,전투의 함성: 내 무기의 공격력만큼 공격력을 얻습니다.,[전투의함성]:[공격력부여(조건없음|발동주체|자신|영구|무기공격력)]
39,기본,서리바람 설인,하수인,4,4,5,,[없음]:
40,기본,센진 방패대가,하수인,4,3,5,도발,[전투의함성]:[도발]
41,전설,알렉스트라자,하수인,9,8,8,전투의 함성: 선택한 영웅의 남은 생명력을 15로 만듭니다.,[전투의함성]:[생명력변환(조건없음|영웅|자신|15)]
42,희귀,전리품 수집가,하수인,2,2,1,죽음의 메아리: 카드를 뽑습니다.,[죽음의메아리]:[카드뽑기(조건없음|자신|1)]
43,일반,젊은 양조사,하수인,2,3,2,전투의 함성: 아군 하수인을 내 손으로 다시 가져옵니다.,[전투의함성]:[패로가져오기(조건없음|하수인|아군)]
44,희귀,정신 지배 기술자,하수인,3,3,3,전투의 함성: 상대편에게 하수인이 넷 이상 있으면 무작위 적 하수인을 가져옵니다.,[전투의함성]:[하수인뺏기(상대하수인4이상|하수인|상대)]
45,전설,케른 블러드후프,하수인,6,4,5,죽음의 메아리: 4/5 바인 블러드후프를 소환합니다.,[죽음의메아리]:[소환(조건없음|자신|46)]
46,토큰,바인 블러드후프,하수인,4,4,5,ㅤ,[없음]:
47,희귀,하늘빛 비룡,하수인,5,4,4,주문 공격력 +1 전투의 함성: 카드를 뽑습니다.,[전투의함성]:[주문공격력(조건없음|발동주체|자신|영구|1)][전투의함성]:[카드뽑기(조건없음|자신|1)]
48,일반,허수아비골렘,하수인,3,2,2,죽음의 메아리: 2/1 손상된 골렘을 소환합니다.,[죽음의메아리]:[소환(조건없음|자신|49)]
49,토큰,손상된 골렘,하수인,1,2,1,ㅤ,[없음]:
50,전설,혈법사 탈노스,하수인,2,1,1,주문 공격력 +1 죽음의 메아리: 카드를 뽑습니다.,[전투의함성]:[주문공격력(조건없음|발동주체|자신|영구|1)][죽음의메아리]:[카드뽑기(조건없음|자신|1)]
51,전설,흑기사,하수인,6,4,5,전투의 함성: 적 도발 하수인을 처치합니다.,[전투의함성]:[하수인제거(조건없음|도발하수인|상대)]
